source,date,new_cases,deaths,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99
https://coronavirus.bg/bg/news/2294,22-08-2021,845,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0
https://coronavirus.bg/bg/news/2292,21-08-2021,1368,21,0,0,0,0,0,0,1,0,0,0,2,1,3,1,6,3,2,2,0,0
https://coronavirus.bg/bg/news/2281,20-08-2021,1371,27,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,3,1,3,0,1
https://coronavirus.bg/bg/news/2273,19-08-2021,1387,16,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,1,2,0,0
https://coronavirus.bg/bg/news/2265,18-08-2021,1405,19,0,0,0,0,0,0,0,0,0,0,2,2,3,2,5,3,1,1,0,0
https://coronavirus.bg/bg/news/2257,17-08-2021,1301,32,0,0,0,0,0,1,0,1,2,0,0,4,3,6,5,3,3,4,0,0
https://coronavirus.bg/bg/news/2252,15-08-2021,623,7,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,0,0
https://coronavirus.bg/bg/news/2253,16-08-2021,272,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0
https://coronavirus.bg/bg/news/2249,14-08-2021,1047,11,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,4,0,0,0,0
https://coronavirus.bg/bg/news/2242,13-08-2021,882,15,0,0,0,0,0,0,0,1,0,1,1,3,0,1,3,1,1,2,1,0
https://coronavirus.bg/bg/news/2238,12-08-2021,782,18,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,5,1,0,1,0
https://coronavirus.bg/bg/news/2230,11-08-2021,805,10,0,0,0,0,0,0,0,1,1,0,1,0,4,1,1,0,0,0,1,0
https://coronavirus.bg/bg/news/2222,10-08-2021,774,23,0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,5,3,1,1,0
https://coronavirus.bg/bg/news/2217,08-08-2021,392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://coronavirus.bg/bg/news/2218,09-08-2021,176,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
https://coronavirus.bg/bg/news/2215,07-08-2021,549,8,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,1,0,0
https://coronavirus.bg/bg/news/2210,06-08-2021,500,14,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,6,2,1,0,0
https://coronavirus.bg/bg/news/2201,04-08-2021,462,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
https://coronavirus.bg/bg/news/2206,05-08-2021,429,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
https://coronavirus.bg/bg/news/2196,03-08-2021,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2189,31-07-2021,346,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
https://coronavirus.bg/bg/news/2191,01-08-2021,182,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
https://coronavirus.bg/bg/news/2192,02-08-2021,94,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
https://coronavirus.bg/bg/news/2181,30-07-2021,231,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
https://coronavirus.bg/bg/news/2176,29-07-2021,216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
https://coronavirus.bg/bg/news/2172,28-07-2021,200,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
https://coronavirus.bg/bg/news/2168,27-07-2021,193,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
https://coronavirus.bg/bg/news/2166,26-07-2021,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2165,25-07-2021,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2161,24-07-2021,135,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
https://coronavirus.bg/bg/news/2155,23-07-2021,121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
https://coronavirus.bg/bg/news/2143,21-07-2021,145,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,0
https://coronavirus.bg/bg/news/2137,20-07-2021,113,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
https://coronavirus.bg/bg/news/2146,22-07-2021,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
https://coronavirus.bg/bg/news/2134,19-07-2021,35,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0
https://coronavirus.bg/bg/news/2129,17-07-2021,76,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0
https://coronavirus.bg/bg/news/2130,18-07-2021,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2122,16-07-2021,94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0
https://coronavirus.bg/bg/news/2111,14-07-2021,74,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,1,0,0
https://coronavirus.bg/bg/news/2118,15-07-2021,84,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
https://coronavirus.bg/bg/news/2108,13-07-2021,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
https://coronavirus.bg/bg/news/2105,12-07-2021,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2104,11-07-2021,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
https://coronavirus.bg/bg/news/2102,10-07-2021,61,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
https://coronavirus.bg/bg/news/2093,08-07-2021,60,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
https://coronavirus.bg/bg/news/2096,09-07-2021,55,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
https://coronavirus.bg/bg/news/2085,07-07-2021,87,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2082,06-07-2021,98,41,0,0,0,0,0,1,0,0,1,0,0,3,3,6,7,8,5,7,0,0
https://coronavirus.bg/bg/news/2075,03-07-2021,81,16,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,4,3,1,1,0
https://coronavirus.bg/bg/news/2077,04-07-2021,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2078,05-07-2021,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2067,02-07-2021,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0
https://coronavirus.bg/bg/news/2060,01-07-2021,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,2,0,0
https://coronavirus.bg/bg/news/2050,30-06-2021,105,9,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,2,0,0
